"Iteration","LogProbability","CurrentDecryptedText....current.decryted.text","CorrectText....correct.text"
86,-156.502223788675,"qljl eh hwil htikul slms","here is some sample text"
87,-156.502223788675,"qljl eh hiwl htwkul slms","here is some sample text"
88,-156.502223788675,"qljl eh hiwl hdwkul slms","here is some sample text"
89,-156.502223788675,"qljl eh hiwl hgwkul slms","here is some sample text"
90,-156.502223788675,"qdjd eh hiwd hgwkud sdms","here is some sample text"
91,-156.502223788675,"ndjd eh hiwd hgwkud sdms","here is some sample text"
92,-156.502223788675,"naja eh hiwa hgwkua sams","here is some sample text"
93,-156.502223788675,"naja eh hiwa hgwkua sars","here is some sample text"
94,-156.502223788675,"naja eh hiwa hgwkma sars","here is some sample text"
95,-180.218266945586,"naja xh hiwa hgwkma sars","here is some sample text"
96,-180.218266945586,"naja xh hiwa hkwgma sars","here is some sample text"
97,-180.218266945586,"nvjv xh hiwv hkwgmv svrs","here is some sample text"
98,-180.218266945586,"nvjv xh hiwv hkwgav svrs","here is some sample text"
99,-180.218266945586,"nvjv zh hiwv hkwgav svrs","here is some sample text"
100,-180.218266945586,"nvjv zh howv hkwgav svrs","here is some sample text"
101,-180.218266945586,"nvjv zh hoev hkegav svrs","here is some sample text"
102,-180.218266945586,"nvjv zh hoev hkegav svrs","here is some sample text"
103,-180.218266945586,"nvjv hz zoev zkegav svrs","here is some sample text"
104,-180.218266945586,"nfjf hz zoef zkegaf sfrs","here is some sample text"
105,-180.218266945586,"nfjf lz zoef zkegaf sfrs","here is some sample text"
106,-153.652403076466,"nfjf lo ozef okegaf sfrs","here is some sample text"
107,-180.218266945586,"nfjf lh hzef hkegaf sfrs","here is some sample text"
108,-151.994254584515,"nfjf li izef ikegaf sfrs","here is some sample text"
109,-151.994254584515,"nfof li izef ikegaf sfrs","here is some sample text"
110,-151.994254584515,"nfof li izef ikegbf sfrs","here is some sample text"
111,-151.994254584515,"nfof li ivef ikegbf sfrs","here is some sample text"
112,-151.994254584515,"nfof li ivef ikegbf sfrs","here is some sample text"
113,-151.994254584515,"nfof li ivef ikegcf sfrs","here is some sample text"
114,-151.994254584515,"nfof li ivef ikegcf sfrs","here is some sample text"
115,-151.994254584515,"nfof li ivef ikegcf sfrs","here is some sample text"
116,-151.994254584515,"nfmf li ivef ikegcf sfrs","here is some sample text"
117,-151.994254584515,"nfmf li ivef ikegcf sfrs","here is some sample text"
118,-151.994254584515,"nkmk li ivek ifegck skrs","here is some sample text"
119,-151.994254584515,"nkmk li ivhk ifhgck skrs","here is some sample text"
120,-151.994254584515,"nkmk li ivhk ifhgck skrs","here is some sample text"
121,-151.994254584515,"nkmk li ivhk ifhwck skrs","here is some sample text"
122,-151.994254584515,"nkmk li ishk ifhwck vkrv","here is some sample text"
123,-151.994254584515,"nkmk li ishk ifhwck vkrv","here is some sample text"
124,-151.994254584515,"rkmk li ishk ifhwck vknv","here is some sample text"
125,-180.218266945586,"lkmk ri ishk ifhwck vknv","here is some sample text"
126,-153.482179058399,"lkmk di ishk ifhwck vknv","here is some sample text"
127,-153.482179058399,"lkmk di ishk ifhwck vknv","here is some sample text"
128,-153.482179058399,"lkmk di inhk ifhwck vksv","here is some sample text"
129,-153.482179058399,"lkmk di inhk ifhwck aksa","here is some sample text"
130,-153.482179058399,"lkmk di inhk ifhwck aksa","here is some sample text"
131,-153.482179058399,"lkmk di inhk ifhwck skas","here is some sample text"
132,-180.218266945586,"lkmk dc cnhk cfhwik skas","here is some sample text"
133,-180.218266945586,"bkmk dc cnhk cfhwik skas","here is some sample text"
134,-180.218266945586,"bkmk uc cnhk cfhwik skas","here is some sample text"
135,-180.218266945586,"bkmk uz znhk zfhwik skas","here is some sample text"
136,-180.218266945586,"bkmk uz znhk zfhlik skas","here is some sample text"
137,-180.218266945586,"bkmk uz znhk zjhlik skas","here is some sample text"
138,-180.218266945586,"bkmk gz znhk zjhlik skas","here is some sample text"
139,-180.218266945586,"bkjk gz znhk zmhlik skas","here is some sample text"
140,-180.218266945586,"bkjk gz znmk zhmlik skas","here is some sample text"
141,-180.218266945586,"bkjk nz zgmk zhmlik skas","here is some sample text"
142,-180.218266945586,"bkjk yz zgmk zhmlik skas","here is some sample text"
143,-180.218266945586,"bkjk yh hgmk hzmlik skas","here is some sample text"
144,-156.502223788675,"bkjk eh hgmk hzmlik skas","here is some sample text"
145,-156.502223788675,"bkjk eh hgmk hzmlik skas","here is some sample text"
146,-156.502223788675,"gkjk eh hbmk hzmlik skas","here is some sample text"
147,-156.502223788675,"gkjk eh hbmk hzmlak skis","here is some sample text"
148,-156.502223788675,"gkjk eh hbmk hzmlak skis","here is some sample text"
149,-156.502223788675,"gkjk eh hbnk hznlak skis","here is some sample text"
150,-156.502223788675,"gkjk eh hbnk hznlak skis","here is some sample text"
151,-156.502223788675,"gkjk eh hbnk hznlak skis","here is some sample text"
152,-156.502223788675,"gkjk eh hbnk hznxak skis","here is some sample text"
153,-156.502223788675,"gkjk eh hbnk hznxak skis","here is some sample text"
154,-156.502223788675,"gkjk eh hbnk hznxak skis","here is some sample text"
155,-180.218266945586,"gkjk nh hbek hzexak skis","here is some sample text"
156,-180.218266945586,"gkjk nh hbek hzexak skis","here is some sample text"
157,-154.868529064209,"gkjk ni ibek izexak skhs","here is some sample text"
158,-154.868529064209,"gkjk ni ibek izexak skhs","here is some sample text"
159,-154.868529064209,"gkjk ni ibwk izwxak skhs","here is some sample text"
160,-154.868529064209,"gkjk ni ibwk izwxak skhs","here is some sample text"
161,-154.868529064209,"gkjk ni ibwk izwxak skhs","here is some sample text"
162,-154.868529064209,"gkjk ni iblk izlxak skhs","here is some sample text"
163,-154.868529064209,"gkjk ni ibwk izwxak skhs","here is some sample text"
164,-154.868529064209,"gkjk ni ibwk izwxak qkhq","here is some sample text"
165,-154.868529064209,"gkjk ni ibwk izwxak tkht","here is some sample text"
166,-154.868529064209,"qkjk ni ibwk izwxak tkht","here is some sample text"
167,-154.868529064209,"qkjk ni ibwk izwxak tkht","here is some sample text"
168,-154.868529064209,"qkjk ni ibwk izwxak tkht","here is some sample text"
169,-180.218266945586,"qkjk ny ybwk yzwxak tkht","here is some sample text"
170,-180.218266945586,"qkjk ny yawk yzwxbk tkht","here is some sample text"
171,-180.218266945586,"qkjk ny yawk yzwxbk tkht","here is some sample text"
172,-180.218266945586,"qkjk iy yawk yzwxbk tkht","here is some sample text"
173,-180.218266945586,"qxjx iy yawx yzwkbx txht","here is some sample text"
174,-180.218266945586,"qxjx ky yawx yzwibx txht","here is some sample text"
175,-180.218266945586,"qxjx ky yawx yuwibx txht","here is some sample text"
176,-180.218266945586,"qxjx ky yawx yuwibx rxhr","here is some sample text"
177,-180.218266945586,"qxjx ky ytwx yuwibx rxhr","here is some sample text"
178,-180.218266945586,"qxrx ky ytwx yuwibx jxhj","here is some sample text"
179,-180.218266945586,"qxrx ky ytwx yvwibx jxhj","here is some sample text"
180,-180.218266945586,"qxrx ky ytwx yvwibx jxhj","here is some sample text"
181,-180.218266945586,"qyry kx xtwy xvwiby jyhj","here is some sample text"
