"","x"
"1",334215264387396
"2",40530125.71
"3",42241680.96
"4",16215124.57
"5",18200551
"6",7737247.7
"7",3844902928763.88
"8",23967733.79
"9",20747171453022.2
"10",58147959.4
"11",140100
"12",3257
